date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:28	10040/10040	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-2738%22	https://cdn.davisawning.com/home/somfy.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/somfy.jpg	(from https://davisawning.com/)
07:39:28	7819/7819	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1e8b%22	https://cdn.davisawning.com/home/serge-ferrari.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/serge-ferrari.jpg	(from https://davisawning.com/)
07:39:29	12471/12471	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-30b7%22	https://cdn.davisawning.com/home/wistar.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/wistar.jpg	(from https://davisawning.com/)
07:39:29	9707/9707	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-25eb%22	https://cdn.davisawning.com/home/a-ok.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/a-ok.jpg	(from https://davisawning.com/)
07:39:29	128253/128253	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1f4fd%22	https://cdn.davisawning.com/home/international-fairs-1.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-1.jpg	(from https://davisawning.com/)
07:39:30	121268/121268	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1d9b4%22	https://cdn.davisawning.com/home/international-fairs-3.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-3.jpg	(from https://davisawning.com/)
07:39:30	122791/122791	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1dfa7%22	https://cdn.davisawning.com/home/international-fairs-2.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-2.jpg	(from https://davisawning.com/)
07:39:31	123771/123771	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1e37b%22	https://cdn.davisawning.com/home/international-fairs-5.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-5.jpg	(from https://davisawning.com/)
07:39:31	123609/123609	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1e2d9%22	https://cdn.davisawning.com/home/international-fairs-4.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-4.jpg	(from https://davisawning.com/)
07:39:31	121820/121820	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1dbdc%22	https://cdn.davisawning.com/home/international-fairs-6.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-6.jpg	(from https://davisawning.com/)
07:39:31	125980/125980	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1ec1c%22	https://cdn.davisawning.com/home/international-fairs-7.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-7.jpg	(from https://davisawning.com/)
07:39:31	135929/135929	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-212f9%22	https://cdn.davisawning.com/home/international-fairs-8.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/international-fairs-8.jpg	(from https://davisawning.com/)
07:39:32	151020/151020	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-24dec%22	https://cdn.davisawning.com/assets/faq-support-small.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/faq-support-small.jpg	(from https://davisawning.com/)
